time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.5707561213480825e-07,-9.257432911495774e-09,10.001854691009306,6.282809287351286,0.00017339662824422675,0.0,-1.4119188813255156e-05,-1.4049631461146e-05,0.061821107560617705,-0.02334152961911861,0.008120642488338478,0.0,423.20867050250337,423.90688158157155,426.66519401942185,424.668162887868
0.12000000000000001,-7.163070249093785e-06,-1.5646761233020672e-05,10.011029694472814,6.281187886493125,0.0007271325482554047,0.0,-0.0002789391842069531,-0.000678271424028339,0.2439901455430474,-0.035647786307539085,0.01135819155607132,0.0,462.93118731693176,463.1857002616963,461.92348801665224,460.9520176237405
0.18,-4.045100690520921e-05,-0.00010203960754660573,10.027114382405305,6.279085212940965,0.0016687320603416822,0.0,-0.0009083066865073439,-0.002401497405960576,0.29215398258207803,-0.03386486138998488,0.023195527518022407,0.0,419.69265658978344,420.7185629735972,420.12794945687364,420.28187504359124
0.23999999999999996,-0.00014050711226816826,-0.0003516921860353389,10.050562652396916,6.2770247209292975,0.0031922491421401133,0.0,-0.0025968370465808007,-0.0061581438260129686,0.4893892724783048,-0.03531212968995857,0.029457489308107862,0.0,466.65854679663386,467.1470906196962,466.8605754713749,466.7472279234731
0.3,-0.000372888579657896,-0.0008632634544127132,10.084018525951173,6.27528126214783,0.004981627899127261,0.0,-0.0053399813565599575,-0.011098749211436228,0.6257390643413573,-0.018817778245528757,0.030543996553528255,0.0,448.3162638145511,448.40479295115716,448.09681702455174,449.43518336442315
0.36000000000000004,-0.0008240223339022801,-0.001726401937271373,10.128235522432416,6.274320388997786,0.007588853829985531,0.0,-0.009973216642453502,-0.01779629704956564,0.8480195819487818,-0.01092719483577793,0.06135621036556138,0.0,473.0274680553993,475.39481116483694,474.6047984325032,475.2100454786793
0.4200000000000001,-0.0015926617490334965,-0.0029793063761868696,10.1820532821939,6.273327000110168,0.011062485545835443,0.0,-0.016012355695748576,-0.024046820388625798,0.9458254598616539,-0.03125900668243377,0.04987365156903886,0.0,437.19065213240316,436.23536067789433,438.0666030959156,436.37291646828965
0.48000000000000015,-0.0028176142464531964,-0.00465392321856237,10.243885132226506,6.271703522565311,0.014080623848694351,0.0,-0.025155041430951784,-0.03196734428353303,1.1150799026569587,-0.019759081196236008,0.05114582503290502,0.0,458.19796425582695,458.3005931333351,459.87743548068806,460.7871621241893
0.5400000000000001,-0.004677035691528676,-0.006851609437117025,10.31703625773989,6.270610375351808,0.01688813308705228,0.0,-0.03717136020090181,-0.041420525237922334,1.323066341386034,-0.015304738725747266,0.036233902992479285,0.0,471.2373157674222,470.08448631844936,471.5686788253943,471.91267415185035
0.6000000000000002,-0.007253995616218343,-0.009592013237197718,10.398786995610806,6.269789570367756,0.01940184221263941,0.0,-0.04895933090260407,-0.05001086612274822,1.4018589828111276,-0.010614213665995758,0.05131862128797479,0.0,431.289882367508,432.5629131676275,431.7303111257027,432.1259555511828
0.6600000000000003,-0.010593375865922709,-0.012864381888259559,10.485341904595456,6.269132447520473,0.02272737423377791,0.0,-0.0626702153976174,-0.05913089823983677,1.4831943484727772,-0.011636417889860435,0.06257960421998743,0.0,432.14267443447824,433.09291078747395,433.36047459360265,433.27467194217166
0.7200000000000003,-0.014853868068498298,-0.01671350674097273,10.57802628823252,6.2694643276135835,0.026087086527613934,0.0,-0.07972279081144512,-0.0691769563373166,1.6061102038105721,0.027259982118422885,0.0376566101299065,0.0,447.1533114129964,445.12054455967615,445.0030624556366,448.17542377839936
0.7800000000000004,-0.020170242962015483,-0.021133752197921685,10.676836345894042,6.271317001799449,0.027986183273831955,0.0,-0.09769716477354921,-0.07798922537399795,1.6874373994663938,0.03727645082740812,0.015584406895638926,0.0,433.6490075359103,431.79146106830706,434.0427711922078,434.8828618964644
0.8400000000000004,-0.02670206952330827,-0.026085763124057294,10.784205242363226,6.273337755640792,0.02893886660653422,0.0,-0.12013259602895586,-0.08682322526865066,1.891209871872892,0.02528887304216878,0.01645895313665793,0.0,471.2267601962141,471.29424388257655,472.1996735605311,471.2744630699546
0.9000000000000005,-0.03460892867150651,-0.03152455414807038,10.904008620374455,6.27510820474099,0.0297084388439961,0.0,-0.14352463540564503,-0.09427068165946416,2.1018704155527246,0.036832914473906894,0.004336123044451582,0.0,475.44042873152034,474.51064796316916,472.95642458217725,473.8448476332935
0.9600000000000005,-0.04377057980607045,-0.037322726963639,11.030933229156485,6.277238829542355,0.030081671377955033,0.0,-0.161891909681546,-0.09880359014658138,2.1288995655229153,0.032725440054215404,0.00974564571768824,0.0,418.04186585599484,418.51285196289854,417.1734600654212,416.8153057590486
1.0200000000000005,-0.0540701469579066,-0.043359488388558,11.160380601299137,6.279016979678843,0.03120513577965056,0.0,-0.18151013518927922,-0.10224170873584636,2.185902656783544,0.022604106987780842,0.03240299863826665,0.0,427.18654547207524,429.11411869960347,427.5356821669823,426.67279705568995
1.0800000000000005,-0.06560929188892554,-0.04957480071826508,11.294391248256373,6.280127133365422,0.032656704267468584,0.0,-0.20330484964045137,-0.10480831091930412,2.2809269735247835,0.008685768510973964,-0.002208188946961844,0.0,441.5371735998982,438.6726713108703,440.6315482740337,439.4794209265318
1.1400000000000006,-0.07862653092072526,-0.05593659174363381,11.438642347592515,6.281422815824806,0.03282601795144391,0.0,-0.230591578148215,-0.10712805037753964,2.526930773277854,0.039499014454949175,0.011350697701913229,0.0,484.991940358703,486.0091693338481,485.1644428349165,487.47233250767374
